time,ShortWave,Cloud,AirTemp,RelHum,WindSpeed,Rain
2020-01-04 17:00:00,574.0,0.0,22.9,25,2.69,0.0
2020-01-04 18:00:00,358.0,0.0,22.5,25,2.66,0.0
2020-01-04 19:00:00,140.0,0.0,21.7,27,2.36,0.0
2020-01-04 20:00:00,8.0,0.0,19.9,32,3.4,0.0
2020-01-04 21:00:00,0.0,0.0,17.7,39,4.83,0.0
2020-01-04 22:00:00,0.0,0.0,15.9,47,5.38,0.0
2020-01-04 23:00:00,0.0,0.0,14.7,53,4.8,0.0
2020-01-05 00:00:00,0.0,0.0,14.0,57,4.67,0.0
2020-01-05 01:00:00,0.0,0.0,13.5,62,4.59,0.0
2020-01-05 02:00:00,0.0,0.0,13.1,66,4.48,0.0
2020-01-05 03:00:00,0.0,0.0,12.3,71,4.16,0.0
2020-01-05 04:00:00,0.0,0.0,12.1,73,4.19,0.0
2020-01-05 05:00:00,0.0,0.0,11.9,73,3.96,0.0
2020-01-05 06:00:00,42.0,0.0,12.6,70,4.47,0.0
2020-01-05 07:00:00,225.0,0.01,15.5,58,4.7,0.0
2020-01-05 08:00:00,449.0,0.04,19.0,44,5.12,0.0
2020-01-05 09:00:00,659.0,0.02,22.5,34,5.42,0.0
2020-01-05 10:00:00,857.0,0.01,25.7,26,5.54,0.0
2020-01-05 11:00:00,996.0,0.17,28.3,22,5.32,0.0
2020-01-05 12:00:00,1077.0,0.11,29.8,19,5.24,0.0
2020-01-05 13:00:00,1096.0,0.0,30.9,17,4.84,0.0
2020-01-05 14:00:00,1052.0,0.0,31.5,17,4.4,0.0
2020-01-05 15:00:00,934.0,0.0,31.8,17,4.18,0.0
2020-01-05 16:00:00,773.0,0.0,31.6,18,4.11,0.0
2020-01-05 17:00:00,570.0,0.02,30.5,20,4.2,0.0
2020-01-05 18:00:00,349.0,0.0,28.7,25,4.47,0.0
2020-01-05 19:00:00,137.0,0.0,25.6,37,4.35,0.0
2020-01-05 20:00:00,8.0,0.0,22.3,50,4.5,0.0
2020-01-05 21:00:00,0.0,0.06,20.1,59,3.61,0.0
2020-01-05 22:00:00,0.0,0.06,18.7,65,2.59,0.0
